,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
27,Vaini,48,IN,1541272508,95,15.34,74.49,70.94,2.77
28,Jamestown,100,AU,1541272509,75,-33.21,138.6,56.5,7.4
29,Hasaki,20,JP,1541271600,93,35.73,140.83,53.6,4.7
30,Bredasdorp,76,ZA,1541268000,68,-34.53,20.04,64.4,2.24
31,Kavieng,68,PG,1541272513,100,-2.57,150.8,80.57,6.85
32,Key West,75,US,1541271300,64,47.93,-96.78,42.8,6.93
33,Kapaa,40,US,1541267760,71,22.08,-159.32,80.06,11.41
34,New Norfolk,75,AU,1541269800,58,-42.78,147.06,53.6,18.34
35,Indian Head,80,CA,1541272522,83,50.53,-103.67,31.25,7.4
36,Bela,0,PK,1541272523,35,26.23,66.31,55.28,4.0
37,Mataura,24,NZ,1541272524,81,-46.19,168.86,45.25,18.7
38,Maldonado,40,UY,1541268000,68,-34.91,-54.96,68.0,10.29
39,Batemans Bay,8,AU,1541272526,94,-35.71,150.18,59.11,5.01
40,Cape Town,0,ZA,1541268000,59,-33.93,18.42,66.2,2.24
41,Lasa,0,CY,1541271600,59,34.92,32.53,68.0,3.36
42,Hobart,75,AU,1541269800,58,-42.88,147.33,53.6,18.34
43,Tuktoyaktuk,20,CA,1541268000,84,69.44,-133.03,3.2,9.17
44,Orebro,48,SE,1541271000,100,59.27,15.21,39.2,9.17
45,Upernavik,44,GL,1541272429,100,72.79,-56.15,22.43,11.32
46,Cayenne,0,GF,1541269800,62,4.94,-52.33,86.0,8.41
47,Saint-Philippe,90,CA,1541271300,100,45.36,-73.48,39.2,6.93
48,Leningradskiy,76,RU,1541272539,100,69.38,178.42,25.45,18.03
49,Tasiilaq,5,GL,1541271000,45,65.61,-37.64,24.8,6.93
50,Tyumentsevo,76,RU,1541272543,94,53.32,81.5,25.58,5.5
51,Dikson,0,RU,1541272544,89,73.51,80.55,21.89,13.44
52,Santa Cruz,1,US,1541270100,43,36.97,-122.03,71.6,3.33
53,Euclides da Cunha,0,BR,1541272549,31,-10.51,-39.01,94.97,8.59
54,Puerto Ayora,40,EC,1541268000,54,-0.74,-90.35,82.4,12.75
55,Yaring,92,TH,1541272551,96,6.87,101.37,75.53,4.23
56,Sistranda,90,NO,1541271000,81,63.73,8.83,42.8,24.16
57,Lakes Entrance,0,AU,1541272554,96,-37.88,147.99,54.61,2.77
58,Comodoro Rivadavia,75,AR,1541271600,26,-45.87,-67.48,69.8,18.34
59,Yumen,36,CN,1541272556,63,40.29,97.04,21.35,3.33
60,Mosetse,0,BW,1541272557,38,-20.64,26.64,78.77,17.36
61,Hokitika,92,NZ,1541272558,100,-42.72,170.96,51.23,20.11
62,Bongandanga,80,CD,1541272559,92,1.51,21.07,75.4,3.04
63,Albany,75,US,1541271240,53,42.65,-73.75,50.0,29.97
64,Sabang,76,PH,1541272562,100,13.72,123.58,78.95,7.58
65,Jerome,1,US,1541271420,28,34.75,-112.11,68.0,4.7
66,Najran,0,SA,1541268000,43,17.54,44.22,69.8,5.28
67,Baherden,0,TM,1541272567,91,38.44,57.43,30.8,4.72
68,Muvattupula,75,IN,1541271600,88,9.97,76.58,77.0,4.7
69,San Patricio,100,PY,1541272569,100,-26.98,-56.83,70.13,3.89
70,Esso,88,RU,1541272571,75,55.93,158.7,13.79,2.71
71,Verkhnyaya Inta,80,RU,1541272572,76,65.99,60.32,24.46,3.33
72,Dingle,36,PH,1541272573,92,11.0,122.67,77.15,10.16
73,Yevlax,64,AZ,1541272574,90,40.61,47.15,42.23,1.03
74,Trebinje,0,HR,1541271600,60,42.71,18.35,68.0,6.93
75,Adrar,0,DZ,1541268000,30,27.87,-0.29,71.6,10.29
76,Mehamn,92,NO,1541272578,95,71.03,27.85,33.28,3.56
77,Pedasi,88,PA,1541272580,100,7.53,-80.03,76.66,9.04
78,East London,0,ZA,1541268000,77,-33.02,27.91,66.2,14.99
79,Bambous Virieux,20,MU,1541268000,83,-20.34,57.76,73.4,2.24
80,Carnarvon,76,ZA,1541272584,10,-30.97,22.13,71.39,7.14
81,Avarua,75,CK,1541268000,88,-21.21,-159.78,71.6,16.11
82,Saquena,0,PE,1541272587,47,-4.67,-73.52,94.52,4.12
83,Nome,75,US,1541271300,45,30.04,-94.42,77.72,14.99
84,Souillac,0,FR,1541271600,81,45.6,-0.6,48.2,4.7
85,Tazovskiy,68,RU,1541272590,80,67.47,78.7,18.43,20.04
86,Beloha,92,MG,1541272592,81,-25.17,45.06,66.35,14.34
87,Belmonte,0,PT,1541272593,92,40.36,-7.35,52.4,2.59
88,Qujing,0,CN,1541272594,88,25.49,103.8,43.49,6.02
89,Astana,90,KZ,1541269800,93,51.13,71.43,32.0,2.24
90,Kathu,24,ZA,1541272596,23,-27.7,23.05,77.87,8.63
91,Iqaluit,90,CA,1541271600,79,63.75,-68.52,19.4,2.24
92,Sucua,0,EC,1541272599,62,-2.46,-78.17,82.91,4.34
93,Chokurdakh,44,RU,1541272601,57,70.62,147.9,-11.5,3.89
94,Katsuura,12,JP,1541272602,99,33.93,134.5,50.33,3.56
95,Tautira,40,PF,1541269800,83,-17.73,-149.15,78.8,19.46
96,Bafq,0,IR,1541272605,59,31.6,55.4,37.28,4.72
97,Sola,75,NO,1541271000,93,58.89,5.65,50.0,19.46
98,Victoria Point,0,AU,1541269800,82,-27.58,153.3,69.8,4.7
99,Thompson,90,CA,1541271600,92,55.74,-97.86,17.6,4.7
100,Morros,75,BR,1541271600,66,-2.87,-44.04,86.0,16.11
101,Khasan,0,RU,1541272613,100,42.43,130.64,43.13,7.4
102,Bubaque,0,GW,1541268000,49,11.28,-15.83,91.4,3.36
103,Liepaja,8,LV,1541271000,76,56.52,21.02,48.2,4.7
104,Butaritari,0,KI,1541272617,100,3.07,172.79,83.86,7.81
105,Tongliao,92,CN,1541272618,59,43.61,122.27,38.9,16.08
106,Ponta do Sol,44,BR,1541272619,73,-20.63,-46.0,81.2,8.59
107,Port Elizabeth,20,US,1541271360,48,39.31,-74.98,60.98,23.04
108,Encruzilhada do Sul,48,BR,1541272623,88,-30.54,-52.52,73.96,8.86
109,Lakhdenpokhya,64,RU,1541272624,93,61.52,30.2,41.6,18.54
110,Champerico,40,MX,1541266800,58,16.38,-93.6,84.2,3.36
111,Hami,0,CN,1541272626,65,42.84,93.51,23.33,6.13
112,Laiyang,0,CN,1541272628,79,36.98,120.7,38.95,3.71
113,Katangli,88,RU,1541272629,100,51.71,143.23,34.36,18.03
114,Klaksvik,92,FO,1541271000,93,62.23,-6.59,48.2,19.46
115,Kenai,90,US,1541271360,44,60.55,-151.26,33.08,10.29
116,Vila Velha,20,BR,1541271600,66,-3.71,-38.6,84.2,16.11
117,Port Lavaca,40,US,1541271300,50,28.61,-96.63,80.78,18.34
118,Rodrigues Alves,75,BR,1541271600,59,-7.74,-72.65,89.6,3.36
119,Aklavik,20,CA,1541271600,84,68.22,-135.01,5.0,4.7
120,Saint-Pierre,20,FR,1541271600,93,48.95,4.24,41.0,5.82
121,Lata,92,IN,1541272639,100,30.78,78.62,40.66,1.25
122,Nuuk,40,GL,1541271000,73,64.17,-51.74,21.2,14.99
123,Mahebourg,20,MU,1541268000,83,-20.41,57.7,73.4,2.24
124,Orlik,68,RU,1541272643,62,52.51,99.83,11.0,4.38
125,Fort Nelson,75,CA,1541271600,92,58.81,-122.69,14.0,2.24
126,Yellowknife,90,CA,1541271600,92,62.45,-114.38,14.0,11.41
127,Puerto Escondido,75,MX,1541266860,70,15.86,-97.07,86.0,8.05
128,Yazman,76,SY,1541272648,33,36.74,38.46,66.35,10.38
129,Norman Wells,40,CA,1541271600,84,65.28,-126.83,3.2,5.82
130,Touros,8,BR,1541272652,65,-5.2,-35.46,86.11,17.13
131,Kenora,90,CA,1541271600,73,49.76,-94.48,33.8,4.7
132,Pochutla,40,MX,1541266860,62,15.74,-96.47,89.6,4.9
133,Kamaishi,0,JP,1541272656,96,39.28,141.86,41.51,4.12
134,Si Sa Ket,0,TH,1541268000,83,15.12,104.33,73.4,4.7
135,Chadiza,48,ZM,1541272659,46,-14.06,32.43,79.04,13.78
136,Juba,80,EE,1541271000,100,57.82,26.93,46.4,10.29
137,Arlit,20,NE,1541272362,17,18.74,7.39,80.75,4.38
138,Tilichiki,88,RU,1541272662,92,60.47,166.1,13.16,3.78
139,Cidreira,88,BR,1541272663,93,-30.17,-50.22,71.8,10.04
140,Saint George,20,GR,1541271000,87,39.45,22.34,57.2,3.89
141,Kitgum,68,UG,1541272666,91,3.3,32.88,66.4,2.82
142,Cherskiy,24,RU,1541272667,70,68.75,161.3,-10.06,1.59
143,Cermik,0,TR,1541267400,66,38.14,39.45,50.0,5.82
144,Madaoua,0,NE,1541272669,51,14.07,5.96,80.48,3.04
145,Moree,12,AU,1541272670,91,-29.46,149.84,62.39,3.0
146,Chufarovo,56,RU,1541272672,68,54.09,47.33,36.74,12.95
147,Yar-Sale,12,RU,1541272676,91,66.83,70.83,7.81,7.25
148,Ilulissat,75,GL,1541271000,78,69.22,-51.1,15.8,17.22
149,Grand-Bourg,76,GP,1541269800,74,15.88,-61.31,87.8,6.93
150,Daru,20,SL,1541272679,60,7.99,-10.85,85.43,5.12
151,Saskylakh,76,RU,1541272682,71,71.97,114.09,0.88,4.12
152,Otradnoye,90,RU,1541269800,93,59.77,30.8,46.4,11.18
153,Tomatlan,92,MX,1541272684,74,19.93,-105.25,80.03,3.22
154,Biabou,20,VC,1541268000,66,13.2,-61.13,87.8,16.11
155,Ribeira Grande,20,PT,1541271600,72,38.52,-28.7,68.0,14.99
156,Wagrowiec,75,PL,1541271600,100,52.81,17.2,48.2,3.36
157,Lakewood,1,US,1541271480,34,33.85,-118.12,82.94,6.93
158,Urengoy,68,RU,1541272693,81,65.96,78.37,16.81,22.12
159,Faanui,48,PF,1541272694,100,-16.48,-151.75,80.57,7.74
160,Mar del Plata,92,AR,1541272695,43,-46.43,-67.52,63.83,18.43
161,Matamoros,90,US,1541271180,56,25.87,-97.51,82.04,19.46
162,Srednekolymsk,80,RU,1541272697,72,67.46,153.71,-2.5,3.71
163,Chateaubelair,20,VC,1541268000,66,13.28,-61.25,87.8,16.11
164,Mabini,20,PH,1541271600,100,7.31,125.85,77.0,2.24
165,Nikolskoye,90,RU,1541269800,93,59.7,30.79,46.4,11.18
166,Halifax,90,CA,1541271600,93,44.65,-63.58,66.2,24.16
167,Mayor Pablo Lagerenza,80,PY,1541272704,57,-19.93,-60.77,92.54,20.6
168,Bagotville,0,AU,1541272705,100,-28.98,153.42,69.73,6.29
169,Uromi,24,NG,1541272706,74,6.71,6.33,82.6,4.56
170,Xining,92,CN,1541272708,88,36.62,101.77,23.69,3.0
171,Olinda,75,EC,1541268000,65,-2.03,-79.75,82.4,10.29
172,Bonfim,40,BR,1541268000,37,-20.33,-44.24,86.0,5.82
173,Marienburg,0,DE,1541271000,86,52.12,9.98,39.2,5.82
174,Tiarei,40,PF,1541269800,83,-17.53,-149.33,78.8,19.46
175,Ponta Delgada,75,PT,1541271600,100,37.73,-25.67,64.4,9.17
176,Chengzihe,92,CN,1541272717,100,45.35,131.0,38.0,8.14
177,Berea,75,US,1541271420,51,41.37,-81.85,48.02,14.99
178,Shaowu,68,CN,1541272719,100,27.34,117.49,56.23,1.03
179,Hobyo,0,SO,1541272721,86,5.35,48.53,77.83,8.63
180,Sao Filipe,20,CV,1541272722,88,14.9,-24.5,80.57,15.79
181,Batagay-Alyta,12,RU,1541272723,0,67.8,130.41,-26.71,2.82
182,Miri,12,NG,1541272724,55,10.31,9.75,79.67,2.82
183,Pec,90,DE,1541271600,93,49.4,12.83,48.2,4.7
184,Khatanga,76,RU,1541272582,84,71.98,102.47,5.11,9.37
185,Maceio,40,BR,1541271600,65,-9.67,-35.74,82.4,18.34
186,Nanortalik,0,GL,1541272730,95,60.14,-45.24,32.2,32.79
187,Bilibino,48,RU,1541272731,65,68.06,166.44,-1.15,2.48
188,Cabo San Lucas,5,MX,1541267160,54,22.89,-109.91,82.4,8.05
189,Kushiro,0,JP,1541272735,68,43.11,144.15,26.8,2.89
190,Zambezi,68,ZM,1541272736,41,-13.55,23.12,82.91,9.93
191,Severo-Kurilsk,88,RU,1541272737,100,50.68,156.12,41.6,8.25
192,Geraldton,90,CA,1541272320,80,49.72,-86.95,33.8,4.7
193,Gorontalo,88,ID,1541272739,98,0.54,123.06,73.55,1.88
194,El Tocuyo,40,VE,1541268000,58,9.79,-69.8,82.4,4.7
195,Baruun-Urt,20,MN,1541272742,52,46.68,113.28,2.36,3.04
196,Chateauroux,0,FR,1541271600,93,43.72,0.65,44.6,5.82
197,Barrow,8,AR,1541272744,69,-38.31,-60.23,71.21,12.17
198,Marovoay,20,MG,1541268000,78,-16.11,46.64,82.4,9.17
199,Baghdad,90,IQ,1541271600,88,33.3,44.38,64.4,4.7
200,Coquimbo,0,CL,1541272748,92,-29.95,-71.34,61.13,6.06
201,Yatou,40,CM,1541268000,94,3.63,9.81,78.8,1.12
202,Clyde River,75,CA,1541271600,78,70.47,-68.59,8.6,10.29
203,Sai Buri,92,TH,1541272753,96,6.7,101.62,75.53,4.23
204,Constitucion,5,MX,1541267520,56,23.99,-104.67,68.0,4.7
205,Lagoa,0,PT,1541271600,88,37.14,-8.45,62.6,6.93
206,Concepcion del Oro,0,MX,1541272757,61,24.63,-101.42,63.74,3.11
207,Hamilton,75,CA,1541271600,75,43.26,-79.87,44.6,16.11
208,Mae Sai,0,MM,1541271600,100,20.44,99.89,62.6,1.21
209,Plastun,0,RU,1541272762,63,44.76,136.29,44.21,5.06
210,Sovetskaya,0,RU,1541272763,67,44.78,41.17,49.34,11.88
211,Diplo,0,PK,1541272765,57,24.47,69.59,70.58,3.22
212,Thinadhoo,80,MV,1541272766,100,0.53,72.93,83.36,3.71
213,Nelson Bay,90,AU,1541272200,82,-32.72,152.14,68.0,9.17
214,Vao,12,EE,1541272768,93,59.1,26.19,45.56,10.09
215,Faya,40,SA,1541268000,82,18.39,42.45,57.2,6.93
216,Kendari,12,ID,1541272771,88,-3.99,122.52,76.16,2.26
217,Ahipara,92,NZ,1541272773,97,-35.17,173.16,60.77,22.46
218,Zemio,0,CF,1541272776,92,5.02,25.13,72.65,3.71
219,Lima,56,PE,1541272556,64,-12.06,-77.04,69.77,2.77
220,Stromness,75,CA,1541271600,75,42.87,-79.55,44.96,16.11
221,Pathein,24,MM,1541272780,83,16.78,94.73,77.15,6.35
222,Moerai,24,PF,1541272781,97,-22.43,-151.33,74.72,15.35
223,Knysna,76,ZA,1541270520,25,-34.04,23.05,75.2,9.17
224,Ashqelon,0,IL,1541271000,49,31.67,34.57,73.4,3.36
225,Strezhevoy,75,RU,1541269800,79,60.73,77.6,21.2,11.18
226,Beringovskiy,88,RU,1541272786,100,63.05,179.32,29.9,9.53
227,Ocampo,76,PH,1541272787,100,13.56,123.37,78.95,7.58
228,Superior,75,US,1541271720,46,39.95,-105.17,57.2,3.36
229,Lensk,36,RU,1541272789,60,60.71,114.91,14.42,8.75
230,Butembo,92,CD,1541272791,100,0.12,29.29,61.13,2.1
231,Anse-Bertrand,80,GP,1541269800,74,16.47,-61.51,82.4,6.93
232,Port Hardy,90,CA,1541271600,93,50.7,-127.42,50.0,14.99
233,Rumonge,76,BI,1541272794,100,-3.97,29.44,69.32,2.55
234,Westport,40,IE,1541271600,87,53.8,-9.52,50.0,19.46
235,Ayaviri,44,PE,1541272797,42,-14.88,-70.59,58.7,5.28
236,Filadelfia,24,PY,1541272799,80,-22.35,-60.04,86.2,12.39
237,Harper,1,US,1541271300,52,30.3,-99.24,73.94,18.34
238,Palamos,75,ES,1541271600,66,41.85,3.13,55.4,1.12
239,Ostrovnoy,92,RU,1541272803,100,68.05,39.51,32.42,5.35
240,Dolores,0,UY,1541272805,57,-33.53,-58.22,78.95,8.52
241,Kaitangata,0,NZ,1541272806,67,-46.28,169.85,47.05,26.08
242,Rio Gallegos,0,AR,1541268000,32,-51.62,-69.22,66.2,26.4
243,Susanville,1,US,1541271300,35,40.42,-120.65,55.4,5.82
244,Yaan,36,NG,1541272810,59,7.38,8.57,87.46,3.33
245,Colares,75,PT,1541271600,82,38.8,-9.45,59.0,10.29
246,Vardo,20,US,1541271300,46,39.62,-77.74,57.2,17.22
247,Synya,92,RU,1541272813,88,65.37,58.04,27.02,6.13
248,Meulaboh,80,ID,1541272815,100,4.14,96.13,75.62,4.72
249,Kristianstad,8,SE,1541271000,100,56.03,14.16,35.6,3.36
250,San Felipe,0,CL,1541271600,33,-32.75,-70.73,77.0,14.99
251,Muzaffarabad,0,PK,1541272818,86,34.37,73.47,37.96,3.0
252,Banda Aceh,76,ID,1541272580,98,5.56,95.32,76.3,4.12
253,Kodiak,1,US,1541271180,57,39.95,-94.76,57.02,14.99
254,Beboto,36,TD,1541272822,71,8.27,16.94,79.63,3.33
255,Carlagan,44,PH,1541272823,95,14.97,122.05,82.19,12.84
256,Ust-Omchug,76,RU,1541272824,81,61.13,149.63,1.1,3.04
257,Glyadyanskoye,80,RU,1541272825,94,54.91,65.09,29.99,5.28
258,Inndyr,75,NO,1541271000,100,67.03,14.03,41.0,23.04
259,Kahului,20,US,1541271360,63,20.89,-156.47,82.94,19.46
260,Prince Rupert,90,CA,1541271600,93,54.32,-130.32,51.8,10.29
261,Basco,90,US,1541272500,76,40.33,-91.2,50.0,12.75
262,Namatanai,64,PG,1541272834,100,-3.66,152.44,80.21,4.38
263,Vila Franca do Campo,75,PT,1541271600,100,37.72,-25.43,64.4,9.17
264,Airai,0,TL,1541272583,86,-8.93,125.41,65.23,1.77
265,Isabela,56,PH,1541272837,98,10.2,122.99,75.62,2.77
266,Kabare,88,RW,1541272838,100,-1.65,29.38,57.26,2.59
267,Banjar,76,ID,1541272840,96,-7.37,108.54,70.58,2.82
268,Muros,90,ES,1541271600,93,42.77,-9.06,51.8,4.7
269,Porto-Vecchio,88,FR,1541271600,77,41.59,9.28,64.4,18.34
270,Shenjiamen,88,CN,1541272844,92,29.96,122.3,68.83,11.32
271,Tottori,8,JP,1541272731,100,35.5,134.23,32.96,1.7
272,Quelimane,92,MZ,1541272750,75,-17.88,36.89,76.16,11.77
273,Pacific Grove,1,US,1541271300,65,36.62,-121.92,73.94,5.82
274,Malmesbury,90,GB,1541271360,79,51.58,-2.1,51.8,16.11
275,Novi Pazar,36,RS,1541272850,74,43.14,20.51,49.07,2.26
276,Codrington,0,AU,1541272851,87,-28.95,153.24,64.73,3.04
277,Namibe,0,AO,1541272852,100,-15.19,12.15,71.35,12.62
278,Atikokan,56,CA,1541272854,76,48.76,-91.62,36.83,3.27
279,Esperance,20,TT,1541268000,59,10.24,-61.45,89.6,14.99
280,Axim,92,GH,1541272856,100,4.87,-2.24,80.98,9.75
281,Flinders,90,AU,1541271600,82,-34.58,150.85,60.8,5.82
282,Guerrero Negro,0,MX,1541272858,49,27.97,-114.04,76.3,2.82
283,El Alto,75,BO,1541268000,31,-16.5,-68.19,60.8,10.29
284,Nouakchott,12,MR,1541272861,93,18.08,-15.98,73.64,15.79
285,Fort-Shevchenko,0,KZ,1541272862,100,44.51,50.26,44.71,14.56
286,Camacha,75,PT,1541271600,68,33.08,-16.33,66.2,12.75
287,Taonan,92,CN,1541272864,39,45.34,122.78,35.75,12.77
288,Yanam,0,IN,1541272866,87,16.73,82.22,79.0,6.8
289,Prince George,90,CA,1541272020,86,53.92,-122.75,41.0,16.11
290,Gotsu,92,JP,1541272869,96,35.01,132.22,47.95,3.71
291,Chuy,0,UY,1541272587,90,-33.69,-53.46,67.16,12.06
292,Tutoia,20,BR,1541268000,46,-2.76,-42.27,89.6,19.46
293,Te Anau,76,NZ,1541272873,96,-45.41,167.72,39.98,13.85
294,Mazagao,40,BR,1541271600,52,-0.12,-51.29,93.2,10.29
295,Deputatskiy,48,RU,1541272875,66,69.3,139.9,-15.91,2.82
296,Wilkie,90,CA,1541271600,80,52.41,-108.71,33.8,12.75
297,Ancud,92,CL,1541272877,95,-41.87,-73.83,52.18,19.71
298,Imeni Zhelyabova,88,RU,1541272879,93,58.95,36.6,45.74,9.31
299,Tecpan,75,GT,1541268000,60,14.76,-90.99,73.4,11.41
300,Baykit,76,RU,1541272881,86,61.68,96.39,19.1,7.52
301,Lorengau,24,PG,1541272882,100,-2.02,147.27,82.73,8.14
302,Mana,0,RS,1541271600,76,43.52,20.24,57.2,10.29
303,Sibolga,68,ID,1541272885,100,1.74,98.78,69.5,1.59
304,Peniche,75,PT,1541271600,82,39.36,-9.38,57.2,8.05
305,Ikalamavony,0,MG,1541272888,39,-21.17,46.6,65.54,4.5
306,Kutum,0,SD,1541272889,29,14.2,24.66,69.77,7.36
307,Awjilah,0,LY,1541272891,54,29.14,21.3,65.72,5.39
308,Micheweni,8,TZ,1541272893,100,-4.97,39.83,79.81,10.31
309,Correntina,20,BR,1541272894,68,-13.34,-44.63,85.48,6.4
310,Charleston,75,US,1541271240,48,38.35,-81.63,53.06,5.73
311,Bartica,75,GY,1541268000,79,6.41,-58.62,84.2,4.7
312,Rokupr,40,SL,1541271600,70,9.01,-12.95,84.2,6.93
313,Port Augusta,100,AU,1541271600,82,-32.49,137.76,59.0,4.7
314,Deloraine,80,CA,1541272901,91,49.18,-100.5,33.59,7.4
315,Kampot,92,KH,1541272903,97,10.62,104.18,73.37,4.56
316,Palana,76,RU,1541272904,76,59.08,159.95,17.3,5.39
317,Anloga,20,GH,1541271600,78,5.79,0.9,82.4,9.17
318,Lamar,40,US,1541271180,35,38.09,-102.62,57.02,26.4
319,Taft,64,PH,1541272908,100,11.9,125.42,78.91,5.06
320,Ambon,0,FR,1541271600,75,47.55,-2.56,44.6,2.24
321,Narsaq,20,GL,1541271000,68,60.91,-46.05,32.0,3.36
322,Alekseyevka,0,RU,1541269800,52,53.25,50.49,42.8,15.66
323,Ayia Marina,0,GR,1541271000,59,37.75,23.53,64.4,16.11
324,Abbeville,0,FR,1541271600,81,50.11,1.83,44.6,8.05
325,Makasar,40,ID,1541271600,94,-6.28,106.88,77.0,2.24
326,Hanzhong,64,CN,1541272918,78,33.08,107.03,48.13,1.54
327,Mitsamiouli,20,KM,1541268000,83,-11.38,43.28,77.0,3.36
328,Zyryanka,88,RU,1541272921,61,65.73,150.89,1.28,8.41
329,Avera,1,US,1541271300,35,33.19,-82.53,64.94,3.36
330,Coleraine,0,GB,1541271000,81,55.13,-6.67,55.4,12.75
331,Naliya,0,IN,1541272924,80,23.26,68.83,69.05,4.79
332,Moron,40,VE,1541268000,58,10.49,-68.2,87.8,3.49
333,Mount Isa,0,AU,1541271600,23,-20.73,139.49,82.4,4.7
334,Labuhan,12,ID,1541272928,97,-2.54,115.51,71.66,1.81
335,Pervomayskoye,0,RU,1541272931,83,57.07,86.23,14.6,11.65
336,Aykhal,64,RU,1541272934,69,65.95,111.51,6.05,6.85
337,Kilindoni,64,TZ,1541272935,100,-7.91,39.67,79.49,11.65
338,Naze,40,NG,1541268000,94,5.43,7.07,77.0,7.25
339,Pangkalanbuun,56,ID,1541272937,99,-2.68,111.62,71.71,4.79
340,Waipawa,24,NZ,1541272938,69,-39.94,176.59,53.57,29.17
341,Marawi,64,PH,1541272940,96,8.0,124.29,68.51,0.36
342,Kavaratti,56,IN,1541272941,100,10.57,72.64,81.47,9.37
343,Muyezerskiy,80,RU,1541272942,98,63.93,31.65,40.66,7.36
344,Coihaique,75,CL,1541271600,45,-45.58,-72.07,62.6,11.41
345,Lahaina,40,US,1541271360,65,20.87,-156.68,82.94,11.41
346,Edson,1,CA,1541271600,100,53.59,-116.44,35.6,3.36
347,Doha,0,QA,1541269800,61,25.29,51.53,82.4,8.05
348,Sioux Lookout,90,CA,1541271600,63,50.1,-91.92,30.2,4.7
349,Provideniya,36,RU,1541272949,100,64.42,-173.23,34.9,9.15
350,Hambantota,92,LK,1541272950,100,6.12,81.12,77.2,7.58
351,Komsomolskiy,80,RU,1541272951,95,67.55,63.78,25.0,10.31
352,Kirakira,80,SB,1541272953,100,-10.46,161.92,81.29,20.04
353,Berlevag,88,NO,1541272954,100,70.86,29.09,32.11,3.56
354,Sharjah,0,AE,1541271600,28,25.36,55.39,80.6,6.93
355,Port Lincoln,32,AU,1541272733,100,-34.72,135.86,54.16,3.0
356,Alice Springs,75,AU,1541271600,45,-23.7,133.88,82.4,10.29
357,Starkville,1,US,1541271300,45,33.45,-88.82,68.0,3.36
358,Beian,90,NO,1541271000,81,63.66,9.57,42.8,24.16
359,San Quintin,20,PH,1541268000,94,17.54,120.52,77.0,3.56
360,Flin Flon,90,CA,1541271600,68,54.77,-101.88,28.4,14.99
361,Dunedin,8,NZ,1541272964,63,-45.87,170.5,43.85,13.96
362,Viedma,8,AR,1541272967,75,-40.81,-62.99,70.67,3.27
363,Alamosa,1,US,1541271120,39,37.47,-105.87,44.96,20.8
364,Piacabucu,0,BR,1541272969,47,-10.41,-36.43,88.63,14.85
365,Tambun,75,MY,1541271600,94,4.62,101.14,77.0,3.36
366,Umm Kaddadah,8,SD,1541272971,26,13.6,26.69,73.33,4.61
367,Guanare,64,VE,1541272973,70,9.04,-69.74,87.55,4.9
368,Grand Gaube,20,MU,1541268000,83,-20.01,57.66,73.4,2.24
369,Yulara,36,AU,1541271600,38,-25.24,130.99,75.2,9.17
370,Progreso,75,UY,1541271600,64,-34.68,-56.22,68.0,6.93
371,Golkoy,0,TR,1541272978,89,40.69,37.62,43.13,1.77
372,Hay River,75,CA,1541271600,85,60.82,-115.79,17.6,5.82
373,Anadyr,75,RU,1541268000,92,64.73,177.51,24.8,11.18
374,Gamba,0,CN,1541272982,65,28.28,88.52,1.96,3.6
